country,date,Population,NewCases,TotalCases,NewDeaths,TotalDeaths,lat,long
Mexico_2020,4/9,127576000,260,3441,20,194,23.6345,-102.5528
Mexico_2020,4/10,127576000,403,3844,39,233,23.6345,-102.5528
Mexico_2020,4/11,127576000,375,4219,40,273,23.6345,-102.5528
Mexico_2020,4/12,127576000,442,4661,23,296,23.6345,-102.5528
Mexico_2020,4/13,127576000,353,5014,36,332,23.6345,-102.5528
Mexico_2020,4/14,127576000,385,5399,74,406,23.6345,-102.5528
Mexico_2020,4/15,127576000,448,5847,43,449,23.6345,-102.5528
Mexico_2020,4/16,127576000,450,6297,37,486,23.6345,-102.5528
Mexico_2020,4/17,127576000,578,6875,60,546,23.6345,-102.5528
Mexico_2020,4/18,127576000,622,7497,104,650,23.6345,-102.5528
Mexico_2020,4/19,127576000,764,8261,36,686,23.6345,-102.5528
Mexico_2020,4/20,127576000,511,8772,26,712,23.6345,-102.5528
Mexico_2020,4/21,127576000,729,9501,145,857,23.6345,-102.5528
Mexico_2020,4/22,127576000,1043,10544,113,970,23.6345,-102.5528
Mexico_2020,4/23,127576000,1089,11633,99,1069,23.6345,-102.5528
Mexico_2020,4/24,127576000,1239,12872,152,1221,23.6345,-102.5528
Mexico_2020,4/25,127576000,970,13842,84,1305,23.6345,-102.5528
Mexico_2020,4/26,127576000,835,14677,46,1351,23.6345,-102.5528
Mexico_2020,4/27,127576000,852,15529,83,1434,23.6345,-102.5528
Mexico_2020,4/28,127576000,1223,16752,135,1569,23.6345,-102.5528
Mexico_2020,4/29,127576000,1047,17799,163,1732,23.6345,-102.5528
Mexico_2020,4/30,127576000,1425,19224,127,1859,23.6345,-102.5528
Mexico_2020,5/1,127576000,1515,20739,113,1972,23.6345,-102.5528
Mexico_2020,5/2,127576000,1349,22088,89,2061,23.6345,-102.5528
Mexico_2020,5/3,127576000,1383,23471,93,2154,23.6345,-102.5528
Mexico_2020,5/4,127576000,1434,24905,117,2271,23.6345,-102.5528
Mexico_2020,5/5,127576000,1120,26025,236,2507,23.6345,-102.5528
Mexico_2020,5/6,127576000,1609,27634,197,2704,23.6345,-102.5528
Mexico_2020,5/7,127576000,1982,29616,257,2961,23.6345,-102.5528
Mexico_2020,5/8,127576000,1906,31522,199,3160,23.6345,-102.5528
Mexico_2020,5/9,127576000,1938,33460,193,3353,23.6345,-102.5528
Mexico_2020,5/10,127576000,1562,35022,112,3465,23.6345,-102.5528
Mexico_2020,5/11,127576000,1305,36327,108,3573,23.6345,-102.5528
Mexico_2020,5/12,127576000,1997,38324,353,3926,23.6345,-102.5528
Mexico_2020,5/13,127576000,1862,40186,294,4220,23.6345,-102.5528
Mexico_2020,5/14,127576000,2409,42595,257,4477,23.6345,-102.5528
Mexico_2020,5/15,127576000,2437,45032,290,4767,23.6345,-102.5528
Mexico_2020,5/16,127576000,2112,47144,278,5045,23.6345,-102.5528
Mexico_2020,5/17,127576000,2075,49219,132,5177,23.6345,-102.5528
Mexico_2020,5/18,127576000,2414,51633,155,5332,23.6345,-102.5528
Mexico_2020,5/19,127576000,2713,54346,334,5666,23.6345,-102.5528
Mexico_2020,5/20,127576000,2248,56594,424,6090,23.6345,-102.5528
Mexico_2020,5/21,127576000,2973,59567,420,6510,23.6345,-102.5528
Mexico_2020,5/22,127576000,2960,62527,479,6989,23.6345,-102.5528
Mexico_2020,5/23,127576000,3329,65856,190,7179,23.6345,-102.5528
Mexico_2020,5/24,127576000,2764,68620,215,7394,23.6345,-102.5528
Mexico_2020,5/25,127576000,2485,71105,239,7633,23.6345,-102.5528
Mexico_2020,5/26,127576000,3455,74560,501,8134,23.6345,-102.5528
Mexico_2020,5/27,127576000,3463,78023,463,8597,23.6345,-102.5528
Mexico_2020,5/28,127576000,3377,81400,447,9044,23.6345,-102.5528
Mexico_2020,5/29,127576000,3227,84627,371,9415,23.6345,-102.5528
Mexico_2020,5/30,127576000,2885,87512,364,9779,23.6345,-102.5528
Mexico_2020,5/31,127576000,3152,90664,151,9930,23.6345,-102.5528
Mexico_2020,6/1,127576000,2771,93435,237,10167,23.6345,-102.5528
Mexico_2020,6/2,127576000,3891,97326,470,10637,23.6345,-102.5528
Mexico_2020,6/3,127576000,3912,101238,1092,11729,23.6345,-102.5528
Mexico_2020,6/4,127576000,4442,105680,816,12545,23.6345,-102.5528
Mexico_2020,6/5,127576000,4346,110026,625,13170,23.6345,-102.5528
Mexico_2020,6/6,127576000,3593,113619,341,13511,23.6345,-102.5528
Mexico_2020,6/7,127576000,3484,117103,188,13699,23.6345,-102.5528
Mexico_2020,6/8,127576000,2999,120102,354,14053,23.6345,-102.5528
Mexico_2020,6/9,127576000,4199,124301,596,14649,23.6345,-102.5528
Mexico_2020,6/10,127576000,4883,129184,708,15357,23.6345,-102.5528
Mexico_2020,6/11,127576000,4790,133974,587,15944,23.6345,-102.5528
Mexico_2020,6/12,127576000,5222,139196,504,16448,23.6345,-102.5528
Mexico_2020,6/13,127576000,3494,142690,424,16872,23.6345,-102.5528
Mexico_2020,6/14,127576000,4147,146837,269,17141,23.6345,-102.5528
Mexico_2020,6/15,127576000,3427,150264,439,17580,23.6345,-102.5528
Mexico_2020,6/16,127576000,4599,154863,730,18310,23.6345,-102.5528
Mexico_2020,6/17,127576000,4930,159793,770,19080,23.6345,-102.5528
Mexico_2020,6/18,127576000,5662,165455,667,19747,23.6345,-102.5528
Mexico_2020,6/19,127576000,5030,170485,647,20394,23.6345,-102.5528
Mexico_2020,6/20,127576000,4717,175202,387,20781,23.6345,-102.5528
Mexico_2020,6/21,127576000,5343,180545,1044,21825,23.6345,-102.5528
Mexico_2020,6/22,127576000,4577,185122,759,22584,23.6345,-102.5528
Mexico_2020,6/23,127576000,6288,191410,793,23377,23.6345,-102.5528
Mexico_2020,6/24,127576000,5437,196847,947,24324,23.6345,-102.5528
Mexico_2020,6/25,127576000,6104,202951,736,25060,23.6345,-102.5528
Mexico_2020,6/26,127576000,5441,208392,719,25779,23.6345,-102.5528
Mexico_2020,6/27,127576000,4410,212802,602,26381,23.6345,-102.5528
Mexico_2020,6/28,127576000,4050,216852,267,26648,23.6345,-102.5528
Mexico_2020,6/29,127576000,3805,220657,473,27121,23.6345,-102.5528
Mexico_2020,6/30,127576000,5432,226089,648,27769,23.6345,-102.5528
Mexico_2020,7/1,127576000,5681,231770,741,28510,23.6345,-102.5528
Mexico_2020,7/2,127576000,6741,238511,679,29189,23.6345,-102.5528
Mexico_2020,7/3,127576000,6740,245251,654,29843,23.6345,-102.5528
Mexico_2020,7/4,127576000,6914,252165,523,30366,23.6345,-102.5528
Mexico_2020,7/5,127576000,4683,256848,273,30639,23.6345,-102.5528
Mexico_2020,7/6,127576000,4902,261750,480,31119,23.6345,-102.5528
Mexico_2020,7/7,127576000,6258,268008,895,32014,23.6345,-102.5528
Mexico_2020,7/8,127576000,6995,275003,782,32796,23.6345,-102.5528
Mexico_2020,7/9,127576000,7280,282283,730,33526,23.6345,-102.5528
Mexico_2020,7/10,127576000,6891,289174,665,34191,23.6345,-102.5528
Mexico_2020,7/11,127576000,6094,295268,539,34730,23.6345,-102.5528
Mexico_2020,7/12,127576000,4482,299750,276,35006,23.6345,-102.5528
Mexico_2020,7/13,127576000,4685,304435,485,35491,23.6345,-102.5528
Mexico_2020,7/14,127576000,7051,311486,836,36327,23.6345,-102.5528
Mexico_2020,7/15,127576000,6149,317635,579,36906,23.6345,-102.5528
Mexico_2020,7/16,127576000,6406,324041,668,37574,23.6345,-102.5528
Mexico_2020,7/17,127576000,7257,331298,736,38310,23.6345,-102.5528
Mexico_2020,7/18,127576000,7615,338913,578,38888,23.6345,-102.5528
Mexico_2020,7/19,127576000,5311,344224,296,39184,23.6345,-102.5528
Mexico_2020,7/20,127576000,5172,349396,301,39485,23.6345,-102.5528
Mexico_2020,7/21,127576000,6859,356255,915,40400,23.6345,-102.5528
Mexico_2020,7/22,127576000,6019,362274,790,41190,23.6345,-102.5528
Mexico_2020,7/23,127576000,8438,370712,718,41908,23.6345,-102.5528
Mexico_2020,7/24,127576000,7573,378285,737,42645,23.6345,-102.5528
Mexico_2020,7/25,127576000,6751,385036,729,43374,23.6345,-102.5528
Mexico_2020,7/26,127576000,5480,390516,306,43680,23.6345,-102.5528
Mexico_2020,7/27,127576000,4973,395489,342,44022,23.6345,-102.5528
Mexico_2020,7/28,127576000,7208,402697,854,44876,23.6345,-102.5528
Mexico_2020,7/29,127576000,5752,408449,485,45361,23.6345,-102.5528
Mexico_2020,7/30,127576000,7730,416179,639,46000,23.6345,-102.5528
Mexico_2020,7/31,127576000,8458,424637,688,46688,23.6345,-102.5528
Mexico_2020,8/1,127576000,9556,434193,784,47472,23.6345,-102.5528
Mexico_2020,8/2,127576000,4853,439046,274,47746,23.6345,-102.5528
Mexico_2020,8/3,127576000,4767,443813,266,48012,23.6345,-102.5528
Mexico_2020,8/4,127576000,6148,449961,857,48869,23.6345,-102.5528
Mexico_2020,8/5,127576000,6139,456100,829,49698,23.6345,-102.5528
Mexico_2020,8/6,127576000,6590,462690,819,50517,23.6345,-102.5528
Mexico_2020,8/7,127576000,6717,469407,794,51311,23.6345,-102.5528
Mexico_2020,8/8,127576000,6495,475902,695,52006,23.6345,-102.5528
Mexico_2020,8/9,127576000,4376,480278,292,52298,23.6345,-102.5528
Mexico_2020,8/10,127576000,5558,485836,705,53003,23.6345,-102.5528
Mexico_2020,8/11,127576000,6686,492522,926,53929,23.6345,-102.5528
Mexico_2020,8/12,127576000,5858,498380,737,54666,23.6345,-102.5528
Mexico_2020,8/13,127576000,7371,505751,627,55293,23.6345,-102.5528
Mexico_2020,8/14,127576000,5618,511369,615,55908,23.6345,-102.5528
Mexico_2020,8/15,127576000,6345,517714,635,56543,23.6345,-102.5528
